,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
eu,1691.3948762683456,,,,1691.3948762683456,1691.3948762683456,1691.3948762683456,1691.3948762683456,,,1691.3948762683456,,,,,,,,,
flykting,933.4449319788644,,,,,,933.4449319788644,,,,933.4449319788644,,,,,,,,,
sverige,809.3639105127,,,,,809.3639105127,809.3639105127,,,,,,,,,,,,,809.3639105127
via,406.8534201834062,,,,,,,,,,,406.8534201834062,,,406.8534201834062,,,,,
asylsokande,298.4773916723325,,,,,,,,298.4773916723325,,,,,,,298.4773916723325,,,,
toa,287.75988267199125,,,,,,,287.75988267199125,,,,,,,,,,,,
nyhet,273.6582742144945,,,,,,,,,,,,,,,,,,,
eulander,265.1551806987641,,,,,,,,,,,,,,,,,,,265.1551806987641
miljon,262.5069881693283,,,,,,,,,,262.5069881693283,,,,,,,,,
tyskland,127.65922570780404,,,,,,,,,,,,,,,,,,,
antal,109.29514838372651,,,,,,,,,,,,,,,,,,,
per,106.2312782061267,,,,,,,,,,,,,,,,,,,
eko,106.10988084493307,,,,,,,,,,,,,,,,,,,
varlden,104.87510254217317,,,,,,,,,,,,,,,,,,,
ta,96.60727473193496,,,,,,,,,,,,,,,,,,,
overens,78.9353934007396,,,,,,,,,,,,,,,,,,,
toga,66.87173769466506,,,,,,,,,,,,,,,,,,,
fordela,66.81910747127309,,,,,,,,,,,,,,,,,,,
danmark,58.07779517125823,,,,,,,,,,,,,,,,,,,
capita,55.01643555619589,,,,,,,,,,,,,,,,,,,
ar,,1203.4229237475552,,,1203.4229237475552,1203.4229237475552,1203.4229237475552,,,,,,1203.4229237475552,,,,,,,
pa,,963.4139913535876,,,,,,,,963.4139913535876,,,963.4139913535876,,,,,,,
skola,,712.9907572466245,,,,,,,,,,,712.9907572466245,,,,,712.9907572466245,,712.9907572466245
kana,,487.6322494788433,,,487.6322494788433,487.6322494788433,,,,,,,487.6322494788433,,,,,487.6322494788433,,487.6322494788433
villa,,476.46014227044753,,,,,,,,,,,,,,,476.46014227044753,,,476.46014227044753
all,,438.05632061822274,,,,438.05632061822274,438.05632061822274,,,,,,,,,,,,,438.05632061822274
mena,,437.2699248788412,,,437.2699248788412,,437.2699248788412,,,,,,437.2699248788412,,,,,,,437.2699248788412
mana,,377.2774191896268,,,,,,,,,,,,,,,,,,
mycken,,355.1300440784702,,,355.1300440784702,,,355.1300440784702,,,,,355.1300440784702,,,,,355.1300440784702,,
fara,,344.75873555629755,,,,,,,,,,344.75873555629755,,,344.75873555629755,,,,,344.75873555629755
vada,,290.59393158033674,,,,,,,,,,,,,,,,,,
ge,,221.5978506604676,,,,221.5978506604676,,,221.5978506604676,,,,,,,,,,221.5978506604676,
da,,218.34692760401632,,,218.34692760401632,,,,,,,,,,,,,,,
varfor,,211.61933216509823,,211.61933216509823,,,,,,,,,,,,,,,,
nia,,176.27250518969788,,,,,,,,,,,,,,,,,,
gor,,168.57825306446983,,,,,,,,,,,,,,,,,,
vala,,152.54176048200765,,,,,152.54176048200765,,,,,,,,,,,,,
gora,,139.62870925723072,,,,,,,,,,,,,,,,,,
peng,,127.02023704981178,,,,,,,,,,,,,,,127.02023704981178,,,
saga,,95.69918162934128,,,,,,,,,,,,,,,,,,
lander,,,326.55749487796265,,,,,,,,,,,,,326.55749487796265,,,,
ansvar,,,225.8918715778813,,,,,,,,,,,,,,,,,225.8918715778813
lofven,,,200.02805375682013,,,,,,,,,,,,,,,,,
tvinga,,,191.426933019594,,,,,,,,,,,,,,,,,
ungern,,,165.9815021563505,,,,,,,,,,,,,,,,,
pol,,,131.30032188486018,,,,,,,,,,,,,,,,,
fn,,,127.08578452533855,,,,,,127.08578452533855,,,,,,,,,,,
skriva,,,119.28531363772892,119.28531363772892,,,,,,,,,,,,,,,,
ovriga,,,104.34730931565164,,,104.34730931565164,,,,,,,,,,,,,,
flyktingfragan,,,99.13766937768176,,,,,,,,,,,,,,,,,
infor,,,92.90230496288405,,,,,,,,,,,,,,,,,
kraver,,,77.68279647522526,,,,,,,,,,,,,,,,,
stefan,,,71.40537134542085,,,,,,,,,,,,,,,,,
led,,,68.79214936002606,,,,,,,,,,,,,,,,,
migrationspolitiken,,,68.23700948120859,,,,,,,,,,,,,,,,,
merkel,,,67.86988846663908,,,,,,,,,,,,,,,,,
vagrar,,,66.84052579459862,,,,,,,,,,,,,,,,,
landerna,,,66.75276924741682,,,,,,,,,,,,,,,,,
johansson,,,57.889920604580105,,,,,,,,,,,,,,,,,
nato,,,55.02216550865159,,,,,,,,,,,,,,,,,
svpol,,,,699.2748987281252,,,,,,,,,,,,,,,,
fran,,,,490.0585785012005,,,490.0585785012005,,,,,,,,,490.0585785012005,,,,490.0585785012005
migpol,,,,440.2957314909728,,,,,,,,,,,,,,,,
mota,,,,396.1808594779128,,,,,,,,,,,,,,,,
eupol,,,,248.75534404296545,,,,,,,,,,,,,,,,
flykta,,,,73.09336732304952,,,,,,,,,,,,,,,,
darfor,,,,70.42751228189078,,,,,,,,,,,,,,,,
agenda,,,,67.90181208190397,,,,,,,,,,,,,,,,
aktuell,,,,61.75206882211489,,,,,,,,,,,,,,,,
agera,,,,57.21997427707488,,,,,,,,,,,,,,,,
kritik,,,,53.46155706401068,,,,,,,,,,,,,,,,
bryta,,,,49.37609844726294,,,,,,,,,,,,,,,,
svtagenda,,,,41.56435857278985,,,,,,,,,,,,,,,,
vagen,,,,38.70645327032132,,,,,,,,,,,,,,,,
brott,,,,37.615275881533975,,,,,,,,,,,,,,,,
svtnyheter,,,,35.00354826734671,,,,,,,,,,,,,,,,
atgarder,,,,33.138138950962706,,,,,,,,,,,,,,,,
strida,,,,31.862413721556408,,,,,,,,,,,,,,,,
att,,,,,591.6709614348426,,,,,,,,591.6709614348426,,,,,591.6709614348426,,591.6709614348426
en,,,,,379.0777437646775,,,,,,,,,,,,,,,
den,,,,,321.3998164153158,,,,,,,,321.3998164153158,,,,,,,
nara,,,,,304.4313071616492,,,,,,,,304.4313071616492,,304.4313071616492,,,,,
ha,,,,,288.5118924826947,,,,,,,,288.5118924826947,,,,,,,
som,,,,,273.2455144697674,,,,,,,,,,,,273.2455144697674,,,
bar,,,,,224.90133940133128,224.90133940133128,224.90133940133128,,,,,,,224.90133940133128,,,,,,
inte,,,,,212.02736454265616,,,,,,,,212.02736454265616,,,,,,,
finna,,,,,206.59257829814277,,,,,,,,,,,206.59257829814277,,,,
vi,,,,,177.98824153866843,,,,,,,,,,,,,,,177.98824153866843
gara,,,,,153.24441716178944,,,,,,,,,,,,,,153.24441716178944,
gall,,,,,120.98092379241938,,,,,,,,,,,,,,,
vara,,,,,82.34704667095917,,,,,,,,,,,,,,,
säga,,,,,73.82282852295923,,,,,,,,,,,,,,,
maste,,,,,,313.691663503836,,,,,,,,,,,,,,313.691663503836
hel,,,,,,264.5926280696434,,,,,,,,,,,,,,
flyktingkrisen,,,,,,239.96601708237463,,,,,,,,,,,,,,
hjalpa,,,,,,116.39348692318607,,,,,,,,,,,,,,
hjalp,,,,,,93.69986384102062,,,,,,,,,,,,,,
skapa,,,,,,90.51565253063846,,,,,,,,,,,,,,
later,,,,,,88.7393793106487,,,,,,,,,,,,,,
hantera,,,,,,79.5923027545694,,,,,,,,,,,,,,
losa,,,,,,79.04375217691992,,,,,,,,,,,,,,
fungera,,,,,,65.54541770348546,,,,,,,,,,,,,,
liva,,,,,,50.54780073898152,,,,,,,,,,,,,,
skylla,,,,,,45.03630232138501,,,,,,,,,,,,,,
fora,,,,,,,1168.1267900012303,,,,,,1168.1267900012303,,,,,1168.1267900012303,,1168.1267900012303
mede,,,,,,,769.8065153397524,,,,,,,,,,,769.8065153397524,,
mången,,,,,,,335.5156681022006,,,,,,,,335.5156681022006,,,,,335.5156681022006
manga,,,,,,,219.16922369053955,,,,,,,,,219.16922369053955,,,,
ave,,,,,,,131.28731345719646,,,,,,,131.28731345719646,,,,,,
dela,,,,,,,130.7828997098635,,,,,,,,,,,,,130.7828997098635
alltsa,,,,,,,89.9616547308011,,,,,,,,,,,,,
klar,,,,,,,80.68962770713257,,,,,,,,,,,,,
handla,,,,,,,74.25907764710824,,,,,,,,,,,,,
afrika,,,,,,,65.99979447759048,,,,,,,,,,,,,
storsta,,,,,,,54.99596576809053,,,,,,,,,,,,,
migration,,,,,,,,374.7264264261128,,,,,,,,,,,374.7264264261128,
se,,,,,,,,243.7594134987446,,,,,,,,,,,,
flyktingpolitik,,,,,,,,210.79492656685423,,,,,,,,,,,,
om,,,,,,,,208.80442568045368,,,,,,,,,,,,
gemensam,,,,,,,,179.82238302796992,,,,,,,,,,,,
behover,,,,,,,,126.60696280916784,,,,,,,,,,,,
nytta,,,,,,,,123.28376029435388,,,,,,,,,,,,
asylpolitik,,,,,,,,121.67098126847011,,,,,,,,,,,,
flyktingmottagande,,,,,,,,108.63063672198614,,,,,,,,,,,,
battre,,,,,,,,98.68027215351816,,,,,,,,,,,98.68027215351816,
eus,,,,,,,,98.1477157060986,,,,,,,,,,,,
lägga,,,,,,,,95.04373294446678,,,,,,,,,,,,
forslag,,,,,,,,90.614826227096,,,,,,,,,,,,
debatt,,,,,,,,88.49135862342261,,,,,,,,,,,,
prata,,,,,,,,78.98784588250882,,,,,,,,,,,,
asylsystem,,,,,,,,73.15155778487471,,,,,,,,,,,,
migrationeu,,,,,,,,57.29638988157223,,,,,,,,,,,,
asyl,,,,,,,,,389.95235237783737,,,,,,,,,,,
till,,,,,,,,,205.4640440022712,,,,,,,,,,205.4640440022712,
ratta,,,,,,,,,196.39883539069373,,,,,,,,,,,
landa,,,,,,,,,192.59647528448147,,,,,,,,,,,
soka,,,,,,,,,176.6042065498892,,,,,,,,,,,
miljard,,,,,,,,,171.44804669463318,,,,,,,,,,,
betala,,,,,,,,,154.29479056219418,,,,,,,,,,,
utanfor,,,,,,,,,141.58238160521574,,,,,,141.58238160521574,,,,,
forsta,,,,,,,,,129.30195356084835,,,,,,,,,,,
manniskor,,,,,,,,,109.1101622863604,,,,,,,,,,,
asylratten,,,,,,,,,108.4670148902558,,,,,,,,,,,
euland,,,,,,,,,104.20720470088952,,,,,,,,,,,
soker,,,,,,,,,87.72020174040024,,,,,,,,,,,
fatt,,,,,,,,,75.02008580700745,,,,,,,,,,,
sv,,,,,,,,,72.42550501474162,,,,,,,,,,,
medborgare,,,,,,,,,71.08607978549988,,,,,,,,,,,
person,,,,,,,,,70.4833659296467,,,,,,,,,,,
sätta,,,,,,,,,,118.85947862625927,,,,,,,,,,
krav,,,,,,,,,,91.79448370600451,,,,,,,,,,
fragan,,,,,,,,,,85.61069766749708,,,,,,,,,,
plats,,,,,,,,,,84.10367757962595,,,,,,,,,,
vag,,,,,,,,,,81.51784536401289,,,,,,,,,,
svara,,,,,,,,,,80.41290447346971,,,,,,,,,,
diskutera,,,,,,,,,,77.48809998519192,,,,,,,,,,
hoppa,,,,,,,,,,70.1168182223226,,,,,,,,,,
fragor,,,,,,,,,,68.8064880957042,,,,,,,,,,
haller,,,,,,,,,,67.93082233830081,,,,,,,,,,
vecka,,,,,,,,,,67.25221645381959,,,,,,,,,,
tva,,,,,,,,,,64.00309541570547,,,,,,,,,,
pressa,,,,,,,,,,56.58284401309755,,,,,,,,,,
lagga,,,,,,,,,,52.9046889976885,,,,,,,,,,
losning,,,,,,,,,,49.39593801111277,,,,,,,,,,
gang,,,,,,,,,,47.9356098264783,,,,,,,,,,
klimat,,,,,,,,,,47.17827709568884,,,,,,,,,,
fokus,,,,,,,,,,46.3445600500645,,,,,,,,,,
kolla,,,,,,,,,,44.13110969640035,,,,,,,,,,
turkiet,,,,,,,,,,,347.994663134337,,,,,,,,,
europa,,,,,,,,,,,239.46260554020412,,,,,,,239.46260554020412,239.46260554020412,
stoppa,,,,,,,,,,,234.39744509988705,,,,,,234.39744509988705,,,
hota,,,,,,,,,,,131.14108640684347,,,,,,,,,
grekland,,,,,,,,,,,121.72650912843412,,,,,,,,,
granser,,,,,,,,,,,117.53269800527268,,,,,,,,,
skicka,,,,,,,,,,,113.65161577408928,,,,,,,,,
syrien,,,,,,,,,,,94.28737617999916,,,,,,,,,
erdogan,,,,,,,,,,,79.89540697159062,,,,,,,,,
libyen,,,,,,,,,,,79.34518405926902,,,,,,,,,
avtal,,,,,,,,,,,79.15643124113035,,,,,,,,,
gran,,,,,,,,,,,71.08158417972061,,,,,,,,,
gransen,,,,,,,,,,,71.07684236367402,,,,,,,,,
yttre,,,,,,,,,,,63.30621222596319,,,,,,,,,
halla,,,,,,,,,,,58.75048660425544,,,,,,,,,
usa,,,,,,,,,,,57.3427999085612,,,,,,,,,
flyktinglager,,,,,,,,,,,53.82033021118878,,,,,,,,,
eumigranter,,,,,,,,,,,,839.8476844045418,,,,,,,,
eumigranterna,,,,,,,,,,,,240.35211279092653,,,,,,,,
bo,,,,,,,,,,,,192.64082602394933,,,,,,,,
barn,,,,,,,,,,,,163.73107150699042,,,,,,,,
eumigrant,,,,,,,,,,,,142.5160191120958,,,,,,,,
kommun,,,,,,,,,,,,127.89293166791757,,,,,,,,
malmo,,,,,,,,,,,,120.360265904234,,,,,,,,
tiggare,,,,,,,,,,,,119.11641514889595,,,,,,,,
polis,,,,,,,,,,,,111.8324382210612,,,,,,,,
lager,,,,,,,,,,,,106.50800329888628,,,,,,,,
fattig,,,,,,,,,,,,101.8326854497434,,,,,,,,
tigga,,,,,,,,,,,,98.54703894503152,,,,,,,,
hemlosa,,,,,,,,,,,,89.89224300183197,,,,,,,,
eumigranters,,,,,,,,,,,,78.69365247680862,,,,,,,,
utsätta,,,,,,,,,,,,78.31259255638412,,,,,,,,
eumigranternas,,,,,,,,,,,,77.64458215428137,,,,,,,,
hem,,,,,,,,,,,,70.20614655813023,,,,,,,,
tiggeri,,,,,,,,,,,,57.8697238594068,,,,,,,,
jaga,,,,,,,,,,,,,380.5581654429503,,,,,,,
dua,,,,,,,,,,,,,293.6716678246462,,,,,,,
tro,,,,,,,,,,,,,153.83338606093795,,,,,,,
man,,,,,,,,,,,,,152.82398535211084,,,,,152.82398535211084,,
tycka,,,,,,,,,,,,,127.44282029414155,,,,,,,
veta,,,,,,,,,,,,,113.60443023825822,,,,,,,
ho,,,,,,,,,,,,,106.81955726926446,,,,,,,
svart,,,,,,,,,,,,,65.55796529567446,,,,,,,
svensk,,,,,,,,,,,,,,243.6726712496784,,,,,,
invandrare,,,,,,,,,,,,,,218.3511269936198,,,218.3511269936198,,,
regering,,,,,,,,,,,,,,156.7631715221607,,,,156.7631715221607,,
at,,,,,,,,,,,,,,106.7726722687254,,,,,,
bidra,,,,,,,,,,,,,,96.11982667151428,,,,,,
jobb,,,,,,,,,,,,,,87.67448821493622,,,,,,
pga,,,,,,,,,,,,,,83.50025096678577,,,,,,
laga,,,,,,,,,,,,,,82.66161475402791,,,,,,
blanda,,,,,,,,,,,,,,79.71413273417535,,,,,,
migrationsverket,,,,,,,,,,,,,,68.51190347909795,,,,,,
jobba,,,,,,,,,,,,,,59.21237846289343,,,,,,
riktig,,,,,,,,,,,,,,52.5905921172147,,,,,,
arbete,,,,,,,,,,,,,,51.497749380057215,,,,,,
leva,,,,,,,,,,,,,,49.166483232745335,,,,,,
etc,,,,,,,,,,,,,,44.03862809130013,,,,,,
kostnad,,,,,,,,,,,,,,42.94687751781325,,,,,,
mm,,,,,,,,,,,,,,42.43146482815588,,,,,,
skatt,,,,,,,,,,,,,,37.8412361194495,,,,,,
migrant,,,,,,,,,,,,,,,476.549522730611,,,,,
in,,,,,,,,,,,,,,,275.3294888516415,,,,,
over,,,,,,,,,,,,,,,225.80868906438704,,,,,
ekonomisk,,,,,,,,,,,,,,,125.27709776425102,,,,,
medelhavet,,,,,,,,,,,,,,,110.09669435996274,,,,,
illegal,,,,,,,,,,,,,,,110.09194393810698,,,,,
italien,,,,,,,,,,,,,,,106.871138553227,,,,,
kalla,,,,,,,,,,,,,,,86.84468861143121,,,,,
oppna,,,,,,,,,,,,,,,75.65723214638693,,,,,
tala,,,,,,,,,,,,,,,68.67304103677415,,,,,
frontex,,,,,,,,,,,,,,,60.41397698402141,,,,,
dra,,,,,,,,,,,,,,,58.19994257524366,,,,,
radda,,,,,,,,,,,,,,,54.93329554656227,,,,,
hjalper,,,,,,,,,,,,,,,51.750292688917824,,,,,
lamnar,,,,,,,,,,,,,,,44.10157386727965,,,,,
av,,,,,,,,,,,,,,,,143.10209946083393,,,,
problem,,,,,,,,,,,,,,,,134.79101891002185,134.79101891002185,,,
besluta,,,,,,,,,,,,,,,,98.47326701600628,,,,
vagar,,,,,,,,,,,,,,,,92.23860088258968,,,,
laglig,,,,,,,,,,,,,,,,81.29231110016393,,,,
verka,,,,,,,,,,,,,,,,68.43095145941726,,,,
falla,,,,,,,,,,,,,,,,64.76999568296391,,,,
ensamkommande,,,,,,,,,,,,,,,,60.42931520983641,,,,
intressant,,,,,,,,,,,,,,,,57.72761093960519,,,,
sakra,,,,,,,,,,,,,,,,57.68950031310881,,,,
olik,,,,,,,,,,,,,,,,56.11008188936742,,,,
ord,,,,,,,,,,,,,,,,54.54765859884357,,,,
ex,,,,,,,,,,,,,,,,44.83023023613026,,,,
artikel,,,,,,,,,,,,,,,,44.67023641212636,,,,
grupp,,,,,,,,,,,,,,,,41.98120498819836,,,,
invandring,,,,,,,,,,,,,,,,,412.323752438521,,,
sd,,,,,,,,,,,,,,,,,190.93967483884757,,,
migrationspolitik,,,,,,,,,,,,,,,,,157.6579092592192,157.6579092592192,,
oka,,,,,,,,,,,,,,,,,153.26493157668966,,,
rosta,,,,,,,,,,,,,,,,,138.0940221927341,,,
folk,,,,,,,,,,,,,,,,,124.076125014687,,,
politik,,,,,,,,,,,,,,,,,98.70791977858148,,,
parti,,,,,,,,,,,,,,,,,95.22355238097325,,,
fria,,,,,,,,,,,,,,,,,94.93546707428088,,,
fri,,,,,,,,,,,,,,,,,89.97535480050205,,,
lamna,,,,,,,,,,,,,,,,,72.63586506164613,,,
rorlighet,,,,,,,,,,,,,,,,,48.37810040870855,,,
massa,,,,,,,,,,,,,,,,,48.29727178243991,,,
soros,,,,,,,,,,,,,,,,,39.75554027754937,,,
ny,,,,,,,,,,,,,,,,,,245.0211770440129,,
svenska,,,,,,,,,,,,,,,,,,103.27680722539834,,
eukommissionen,,,,,,,,,,,,,,,,,,84.46545938841624,,
stå,,,,,,,,,,,,,,,,,,82.17263005541585,,
istallet,,,,,,,,,,,,,,,,,,81.04735204949061,,
behov,,,,,,,,,,,,,,,,,,80.95586981520445,,
dag,,,,,,,,,,,,,,,,,,76.17814374608845,,
situation,,,,,,,,,,,,,,,,,,69.55692890546459,,
union,,,,,,,,,,,,,,,,,,58.698558824478646,,
samarbete,,,,,,,,,,,,,,,,,,52.04655183910293,,
och,,,,,,,,,,,,,,,,,,,388.631482878826,
böra,,,,,,,,,,,,,,,,,,,188.5132854812125,188.5132854812125
hane,,,,,,,,,,,,,,,,,,,187.2605493684552,
be,,,,,,,,,,,,,,,,,,,90.70167082499394,
tacka,,,,,,,,,,,,,,,,,,,70.78785231337028,
brexit,,,,,,,,,,,,,,,,,,,59.788581048557646,
samt,,,,,,,,,,,,,,,,,,,56.0127892428933,
stat,,,,,,,,,,,,,,,,,,,54.34820433832533,
kvinna,,,,,,,,,,,,,,,,,,,53.12533271934262,
sig,,,,,,,,,,,,,,,,,,,52.66278648173753,
integration,,,,,,,,,,,,,,,,,,,50.17937836147126,
rad,,,,,,,,,,,,,,,,,,,48.03232635262691,
bistand,,,,,,,,,,,,,,,,,,,48.02482717307201,
valen,,,,,,,,,,,,,,,,,,,45.095149657267946,
fa,,,,,,,,,,,,,,,,,,,,268.5985479994236
ga,,,,,,,,,,,,,,,,,,,,117.13373818345852
egen,,,,,,,,,,,,,,,,,,,,90.54113294575988
